,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
303,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",South End Circle (green line),Secure healthcare institute ,Work,"Majestic,chikkaballapura(kstrc)",Home,08:30:00,Metro ,20,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,71,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,36-45 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",1.0,1,1,0,0,10,-1,2,1,1,3,1,1,1,1,1,1
304,"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Jayanagar (green line),12th main jayanagar ,Work,High court ,Work,11:30:00,Metro ,25,Walk ,5,< 0.5 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Postgraduate,Employed,"25,001 – 50,000",1.0,0,0,0,0,10,-1,2,2,1,3,1,1,1,1,1,1
305,Silk Institute (green line),Krishna Rajendra Market (green line),K r market ,Restaurant,Kanakpura,Home,11:00:00,Bus + Metro ,60,Walk ,5,0.5 to 1 km ,2,Walk ,8,0.5 to 1 km ,,For both access and egress trips ,2,5,No ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,5,1,2,1,3,3,3,1,1,1
306,Mantri Square Sampige Road (green line),Yelachenahalli (green line),"Arkere, primeco towers",Work,"Yelanka, kattigenahalli",Home,10:00:00,Bus + Metro ,120,Walk ,5,0.5 to 1 km ,15,Auto Rickshaw ,20,> 5 km ,2,For both access and egress trips ,2,5,Metro card ,40,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,1,0,0,10,-1,2,1,2,2,3,8,3,1,1,5
307,Nagasandra (green line),Rajajinagar (green line),KLE rajaji nagr,School,Bagalgunte,Home,11:50:00,Metro ,35,Two-Wheeler ,10,1.5 km to 2 km ,6,Walk ,7,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,3.0,2,2,0,0,10,-1,3,1,1,1,2,1,1,1,3,1
308,Jayanagar (green line),Vajarahalli (green line),Raghuvanahalli,Home,Besent technology ,Work,11:30:00,Metro ,45,Walk ,20,4.5 km to 5 km ,2,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,>2 Lakhs,1.0,1,0,0,0,10,-1,1,2,1,1,6,1,1,0,1,1
309,Rashtreeya Vidyalaya Road (green line),Sandal Soap Factory (green line),Orion mall,Restaurant,Bommanahalli,Home,10:30:00,Metro ,90,Auto Rickshaw ,35,4.5 km to 5 km ,7,Walk ,2,< 0.5 km ,,For access trip only ,,,Metro card ,150,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Doctorate,Student,"50,001 – 1,00,000",1.0,1,0,0,0,10,-1,5,1,1,1,6,1,2,1,5,1
310,Indiranagar (purple line),Trinity (purple line),Bank of baroda ,Work,Vijaya bank,Work,11:45:00,Metro ,5,Walk ,5,< 0.5 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,2,2,1,2,1,1,1,0,1,1
311,National College (green line),Silk Institute (green line),Silk institute metro near,Home,BMS college ,School,11:47:00,Metro ,25,Walk ,5,0.5 to 1 km ,1,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,0,10,-1,1,3,1,1,3,3,1,1,1,1
312,Nagasandra (green line),Trinity (purple line),Trinity nithesh Broadway building,Work,Jindal aluminium limited,Work,11:50:00,Metro ,60,Auto Rickshaw ,15,2 km to 2.5 km ,8,Walk ,1,< 0.5 km ,,For access trip only ,,,Metro card ,70,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,36-45 yrs ,Postgraduate,Employed,"1,00,001 – 2,00,000",1.0,1,0,0,0,10,-1,2,2,1,3,11,1,2,1,5,1
313,Nagasandra (green line),Goraguntepalya (green line),Manyata tech park,Work,Pristage jindal,Home,00:05:00,Metro + Bus ,90,Two-Wheeler ,5,1 km to 1.5 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,5,10,No ,50,No crowding  - 25-50% of seats occupied ,Male,,,Bus and Metro ,36-45 yrs ,Postgraduate,Employed,,1.0,1,0,0,0,10,-1,2,1,3,3,4,3,1,1,3,1
314,Silk Institute (green line),Mantri Square Sampige Road (green line),Mantri square ,Shopping,"Nage gowda palya, near home shool",Home,12:00:00,Metro ,40,Two-Wheeler ,10,1.5 km to 2 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,30,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,36-45 yrs ,Postgraduate,Unemployed,,1.0,1,0,0,0,10,-1,4,1,1,3,2,1,1,0,3,1
315,Silk Institute (green line),Vijayanagar (purple line),Kanakpura town,Home,"GKW layout, vijaynagar ",Work,11:00:00,Metro ,120,Dropped-off by friends/others ,60,> 5 km ,5,Two-Wheeler ,10,2.5 km to 3 km ,,For egress trip only ,,,No ,50,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",1.0,3,3,0,0,10,-1,1,2,1,1,8,7,4,1,8,3
316,Nagasandra (green line),Baiyappanahalli (purple line),RMZ infinity,Work,Nelamangala,Home,11:30:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,3,6,Metro card ,25,No crowding  - 25-50% of seats occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,0,0,0,10,-1,2,1,2,1,1,1,3,1,1,1
317,Silk Institute (green line),Jayanagar (green line),"Marathalli, ecO space",Work,"Silk institute,  sobha hill view appartment ",Home,12:20:00,Metro ,120,Walk ,10,< 0.5 km ,1,Car ,60,> 5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,1,0,0,10,-1,2,1,1,2,1,8,1,0,1,4
318,Vajarahalli (green line),Chickpet (green line),Chickpete,Work,"Vajarahalli,100ft main road ",Home,12:25:00,Metro ,35,Walk ,6,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,No ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,2,1,1,3,1,1,1,1,1,1
319,Nagasandra (green line),Jayanagar (green line),Near jayanagar metron statiom,Shopping,Nilamangala Jupiter college,School,12:00:00,Bus + Metro ,90,Walk ,15,1.5 km to 2 km ,3,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,3,6,Metro card ,30,No crowding  - 25-50% of seats occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Student,"25,001 – 50,000",0.0,1,0,0,0,10,-1,4,3,2,1,2,1,1,1,1,1
320,Silk Institute (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Majestic ,Other,Jain college ,School,11:00:00,Bus + Metro ,90,Auto Rickshaw ,20,2.5 km to 3 km ,15,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5,5,No ,67,No crowding  - 25-50% of seats occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,8,3,2,1,7,3,3,1,5,1
321,Konanakunte Cross (green line),Rajajinagar (green line),Magadi road,Friend,"Konanakunte cross,anjanapura",Home,12:00:00,Bus + Metro ,90,Walk ,2,< 0.5 km ,20,Dropped-off by friends/others ,30,> 5 km ,2,For both access and egress trips ,2,9,Metro card ,10,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus and Metro ,36-45 yrs ,10th,Business,,0.0,0,0,0,0,10,-1,7,1,2,3,1,8,3,1,1,8
322,National College (green line),Cubbon Park (purple line),"Kodva samaj,vasanth",Home,"Jain college ,vv puram ",School,12:30:00,Metro ,20,Walk ,5,< 0.5 km ,6,Dropped-off by friends/others ,15,3 km to 3.5 km ,0,For egress trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,1.0,1,0,0,0,10,-1,1,3,1,1,1,5,4,0,1,8
323,Jayaprakash Nagar (green line),Swami Vivekananda Road (purple line),Marathalli bridge,Work,Uttrahalli main road bescom office ,Home,12:05:00,Bus + Metro ,90,Walk ,2,< 0.5 km ,10,Dropped-off by friends/others ,20,> 5 km ,10,For neither access nor egress trips ,5,7,No ,90,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Postgraduate,Employed,,0.0,2,0,0,0,10,-1,2,1,2,2,1,8,1,0,1,8
324,Jayaprakash Nagar (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Anyamma devasthana, near majestic ",Social,"25th main road, JP nagar ",Home,12:00:00,Metro ,50,Auto Rickshaw ,20,4.5 km to 5 km ,4,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,No ,80,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,46-60 yrs ,10th,Unemployed,,0.0,0,0,0,0,10,-1,6,1,1,4,6,1,1,0,5,1
325,Lalbagh (green line),Kengeri Bus Terminal (purple line),Kengeri sun city,Home,Lalbagh flower show ,Social,12:30:00,Metro ,75,Walk ,5,< 0.5 km ,5,Two-Wheeler ,20,1.5 km to 2 km ,,For egress trip only ,,,No ,45,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,0.0,1,1,0,0,10,-1,1,6,1,1,1,2,4,1,1,3
326,Attiguppe (purple line),Indiranagar (purple line),Attiguppe bbmp office ,Other,Adigas pakadhala,Home,12:30:00,Metro ,30,Auto Rickshaw ,5,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,60,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,2.0,3,0,0,0,10,-1,8,1,1,2,4,1,3,0,5,1
327,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Mahatma Gandhi Road (purple line),"Mg road,st Mark's road",Work,"Yelahanka,rajankunte road",Home,11:30:00,Bus + Metro ,90,Dropped-off by friends/others ,5,2.5 km to 3 km ,2,Auto Rickshaw ,10,3 km to 3.5 km ,0,For egress trip only ,5,7,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,>2 Lakhs,2.0,2,1,0,0,10,-1,2,1,2,1,7,5,4,0,8,5
328,Jayanagar (green line),Nagasandra (green line),"Christ University, yeshwantpur ",School,"Jayanagar,4th block,30th A street",Friend,12:30:00,Metro ,40,Ola/Uber car ,10,1.5 km to 2 km ,4,Ola/Uber car ,10,1.5 km to 2 km ,5,For both access and egress trips ,,,No ,150,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,12th,Student,"1,00,001 – 2,00,000",2.0,2,1,0,0,10,-1,3,7,1,1,2,2,3,1,6,6
329,Chickpet (green line),Dasarahalli (green line),"Nelmangla,  TV cross ",Shopping,Chikpett ,Shopping,10:50:00,Metro + Bus ,110,Walk ,10,0.5 to 1 km ,1,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5,5,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Not eligible ,Metro ,Metro ,26-35yrs ,Graduate,Student,,1.0,1,0,0,0,10,-1,4,4,3,2,3,3,3,0,1,1
330,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Baiyappanahalli (purple line),Bayappanahalli metro ,Home,Yeshwantpur metro,Other,12:45:00,Metro ,60,Walk ,5,< 0.5 km ,5,Auto Rickshaw ,20,4 km to 4.5 km ,7,For neither access nor egress trips ,,,Metro card ,100,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,1,8,1,2,1,10,1,0,1,5
331,Nagasandra (green line),Trinity (purple line),"Trinity, kotak mahindra bank",Other,"Nagasandra,madhavara",Home,12:00:00,Bus + Metro ,60,Walk ,15,2 km to 2.5 km ,2,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,3,7,No ,46,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,8,1,2,1,11,1,1,0,1,1
332,Trinity (purple line),Jalahalli (green line),"Sidbi office,peenya",Work,"Sidbi office,mg road",Work,12:45:00,Metro ,30,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,2,0,0,0,10,-1,2,2,1,2,1,1,1,1,1,1
333,Mahakavi Kuvempu Road (green line),Mahatma Gandhi Road (purple line),Chruch street,Shopping,Marayappana palya,Home,13:00:00,Metro ,20,Walk ,2,< 0.5 km ,8,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,No ,25,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,3,0,0,0,10,-1,4,1,1,1,1,1,1,0,1,1
334,Rajarajeshwari Nagar (purple line),Rashtreeya Vidyalaya Road (green line),RV road,Home,Rajarajeswari ,Work,13:10:00,Metro ,40,Walk ,5,< 0.5 km ,10,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,48,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,1,2,1,2,1,3,1,1,1,1
335,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Dasarahalli (green line),"Nalagadarahalli, 8th mile",Home,"Majestic , near vidanasouda",Work,13:00:00,Metro ,45,Auto Rickshaw ,5,1.5 km to 2 km ,10,Car ,10,3 km to 3.5 km ,,For neither access nor egress trips ,,,No ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Employed,,1.0,1,0,0,0,10,-1,1,2,1,1,2,5,1,1,5,4
336,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Cubbon Park (purple line),Cubbon park,Work,Yelahanka dairy circle ,Home,12:00:00,Bus + Metro ,90,Walk ,3,< 0.5 km ,5,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,5,5,Metro card ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,,1.0,1,0,0,0,10,-1,2,1,2,1,1,3,1,0,1,1
337,Vijayanagar (purple line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Double road,School,Vijaynagar ,Home,13:20:00,Metro ,40,Walk ,10,1.5 km to 2 km ,10,Auto Rickshaw ,20,> 5 km ,2,For access trip only ,,,Metro card ,50,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,> 60 yrs ,Graduate,Business,,0.0,0,0,0,0,10,-1,3,1,1,5,2,8,2,1,1,5
338,Jayaprakash Nagar (green line),Baiyappanahalli (purple line),Whitefield hope farm,Home,Fortis hospital,Social,12:50:00,Metro1 + Bus + Metro2 ,120,Two-Wheeler ,20,2 km to 2.5 km ,5,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,5,1,No ,100,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Postgraduate,Unemployed,"50,001 – 1,00,000",2.0,3,0,0,0,10,-1,1,6,5,2,11,3,3,1,3,1
339,Mysore Road (purple line),Dasarahalli (green line),Dasarahalli ,Other,Pes college ,School,13:30:00,Bus + Metro ,45,Walk ,2,< 0.5 km ,5,Walk ,15,1 km to 1.5 km ,,For neither access nor egress trips ,5,10,Metro card ,100,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Bus ,18-25yrs ,Graduate,Student,,0.0,1,0,0,0,10,-1,8,3,2,1,1,4,1,0,1,1
340,Baiyappanahalli (purple line),Yeshwanthpur (green line),Yeshwanthpur railway station,Other,Drdo township,Home,13:30:00,Metro ,90,Two-Wheeler ,15,2 km to 2.5 km ,6,Walk ,3,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,8,1,1,1,11,1,2,1,3,1
341,Jalahalli (green line),Jayanagar (green line),4th block jayanagar ,Home,"Near kanti sweets, gangamma circle, Jalahalli ",Friend,13:40:00,Metro ,60,Two-Wheeler ,10,2 km to 2.5 km ,7,Two-Wheeler ,20,> 5 km ,,For neither access nor egress trips ,,,Metro card ,20,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Unemployed,,1.0,2,0,0,0,10,-1,1,7,1,1,11,8,1,0,3,3
342,Jalahalli (green line),Mantri Square Sampige Road (green line),Mantri square ,Shopping,AIMs college ,School,13:00:00,Metro ,30,Dropped-off by friends/others ,2,0.5 to 1 km ,10,Walk ,2,< 0.5 km ,,For access trip only ,,,No ,30,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,1,0,0,10,-1,4,3,1,1,3,1,2,1,8,1
343,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Majestic , chikpete ",Shopping,"Chikbridrikallu, near post office ",Home,13:00:00,Bus + Metro ,90,Walk ,15,1 km to 1.5 km ,5,Walk ,20,1.5 km to 2 km ,,For both access and egress trips ,2,6,No ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Business,,,3,0,1,0,10,-1,4,1,2,2,4,2,3,1,1,1
344,Jalahalli (green line),South End Circle (green line),"JP nagar,  RV college near, venkatesh temple ",Friend,"Peenya, dental hydraulics",Work,14:10:00,Metro + Bus ,50,Two-Wheeler ,10,3.5 km to 4 km ,7,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,5,10,No ,60,No crowding  - Most ,Male,,,Metro ,46-60 yrs ,10th,Employed,,0.0,1,0,0,0,10,-1,7,2,3,4,9,1,1,1,3,1
345,Sandal Soap Factory (green line),Jalahalli (green line),Peenya 2nd stage,Home,KR puram,Other,11:00:00,Bus1 + Metro + Bus2 ,180,Walk ,5,< 0.5 km ,5,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,10,5,No ,75,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,1,8,4,1,1,1,1,1,1,1
346,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Chikkaballapura,subarayanapet",Home,"Peenya,14th cross ,second stage",Work,14:00:00,Bus1 + Metro + Bus2 ,60,Walk ,3,< 0.5 km ,15,Two-Wheeler ,5,0.5 to 1 km ,,For access trip only ,5,15,No ,200,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,2,1,0,0,10,-1,1,2,4,1,1,3,2,1,1,3
347,Jalahalli (green line),Mahatma Gandhi Road (purple line),"Residency road, near MG road ",Work,Peenya 2nd stage,Work,14:00:00,Bus + Metro ,60,Walk ,10,1 km to 1.5 km ,15,Walk ,10,1 km to 1.5 km ,,For both access and egress trips ,5,6,Metro card ,10,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,2,2,2,2,4,4,3,1,1,1
348,Jalahalli (green line),Mantri Square Sampige Road (green line),Malleshwaram 16th cross sampige,Home,"Nelmangla, sri sidhaganga 1st grade arts and commerce ",School,13:45:00,Bus1 + Metro + Bus2 ,120,Walk ,5,0.5 to 1 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,5,8,No ,70,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,12th,Student,,1.0,1,0,0,0,10,-1,1,3,4,1,3,1,3,1,1,1
349,Jalahalli (green line),Konanakunte Cross (green line),"Konankunte, near anjanapura",Home,Jalahalli cross,Other,14:38:00,Metro + Bus ,45,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For egress trip only ,2,2,No ,70,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,1,8,3,2,1,1,4,1,1,1
350,Dasarahalli (green line),National College (green line),Mahaveer jain college ,School,Dasarahalli ,Shopping,14:40:00,Metro ,40,Walk ,3,< 0.5 km ,10,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Business,"<=10,000",0.0,0,1,0,0,10,-1,3,4,1,1,1,1,1,1,1,1
351,Jalahalli (green line),Srirampura (green line),"Srirampura,kk mart",Shopping,"RC college,race course road,vidhana soudha",School,13:00:00,Bus1+Bus2+Metro,100,Walk ,5,< 0.5 km ,5,Walk ,10,0.5 to 1 km ,,For egress trip only ,2,1,Student pass ,30,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,12th,Student,,0.0,1,1,0,0,10,-1,4,3,0,1,1,3,4,1,1,1
352,Jalahalli (green line),Mantri Square Sampige Road (green line),Mantri square ,Home,AIMs institute ,School,14:30:00,Metro ,30,Walk ,5,0.5 to 1 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Postgraduate,Student,>2 Lakhs,1.0,3,0,0,0,10,-1,1,3,1,1,3,1,1,1,1,1
353,Jalahalli (green line),Srirampura (green line),Kk mart srirampura,Shopping,"Dhanvanthri college, chikbanavara",School,14:00:00,Metro ,45,Two-Wheeler ,15,3.5 km to 4 km ,6,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,30,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,12th,Student,,1.0,1,0,0,0,10,-1,4,3,1,1,9,1,1,1,3,1
354,Jalahalli (green line),Deepanjali Nagar (purple line),"Deepanjali Nagar , satelite bus stop ",Other,"Vidyaranpura, chandu blooms appartment ",Friend,13:30:00,Bus + Metro ,40,Walk ,5,0.5 to 1 km ,30,Walk ,2,< 0.5 km ,,For egress trip only ,2,8,No ,60,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,1,0,0,10,-1,8,7,2,1,3,1,4,1,1,1
355,Jalahalli (green line),Indiranagar (purple line),Indiranagar KFC signal ,Work,"Jalahalli,prince town appartments ",Work,14:45:00,Metro ,120,Rapido/Uber moto/Ola App two-wheeler ,15,2.5 km to 3 km ,6,Two-Wheeler ,20,4.5 km to 5 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,2,0,0,0,10,-1,2,2,1,2,7,6,3,1,7,3
356,Jalahalli (green line),National College (green line),Passport office near national college ,Other,"Jalahalli cross,  opposite to ICICi atm",Home,14:55:00,Metro ,45,Walk ,5,< 0.5 km ,6,Auto Rickshaw ,10,3.5 km to 4 km ,5,For neither access nor egress trips ,,,Metro card ,60,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,12th,Student,,1.0,1,0,0,0,10,-1,8,1,1,1,1,9,1,0,1,5
357,Baiyappanahalli (purple line),Attiguppe (purple line),RNs institute attifuppe,Home,Mahadevpura,Work,15:00:00,Bus + Metro ,80,Office shuttles,5,0.5 to 1 km ,10,Two-Wheeler ,20,1 km to 1.5 km ,,For both access and egress trips ,10,4,Metro card ,42,No crowding  - 25-50% of seats occupied ,Male,,,Bus and Metro ,36-45 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,0,0,0,10,-1,1,2,2,3,3,4,3,1,9,3
