,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
275,275,Indiranagar (purple line),Rashtreeya Vidyalaya Road (green line),Inox near RV metro station ,Social,Indranagar 17th C cross,Home,11:20:00,Metro ,50,Walk ,10,0.5 to 1 km ,7,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",15,1,6,1,1,2,3,3,3,0,1,1
276,276,Yeshwanthpur (green line),Baiyappanahalli (purple line),Tin factory ,Friend,Near metro,Home,11:25:00,Metro + Bus ,90,Auto Rickshaw ,8,1 km to 1.5 km ,9,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,5.0,5.0,Metro card ,40,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,7,1,3,1,4,3,1,0,5,1
279,279,Yeshwanthpur (green line),Mysore Road (purple line),"Mysuru road, ullal ",Friend,"Yeshwantpur, vaishanavi sapphire ",Friend,11:30:00,Metro ,60,Walk ,10,0.5 to 1 km ,7,Dropped-off by friends/family members/others ,20,> 5 km ,3.0,For neither access nor egress trips ,,,No ,40,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,7,7,1,1,3,8,1,0,1,8
280,280,Indiranagar (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Deepam, MG road",Shopping,"Indranagar, jeevan bhima nagar police station near",Home,11:20:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,3,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5.0,8.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,4,1,2,1,1,3,1,0,1,1
281,281,Yeshwanthpur (green line),Konanakunte Cross (green line),Forum mall,Shopping,"Bel road , cafe coffee day",Home,11:30:00,Metro ,45,Drove and parked a two-Wheeler ,10,2.5 km to 3 km ,7,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,1,7,1,1,0,3,1
282,282,Yeshwanthpur (green line),Mahatma Gandhi Road (purple line),Church street ,Restaurant,Vaishnavi mall,Friend,11:35:00,Metro ,30,Walk ,5,< 0.5 km ,8,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"No, I will not use a bicycle. .",15,3,5,7,1,1,1,3,1,0,1,1
284,284,Yeshwanthpur (green line),Indiranagar (purple line),Indiranagar ,Restaurant,"Yeshwantpur, govardhan theatre ",Home,00:07:00,Metro ,45,Dropped-off by friends/family members/others ,7,0.5 to 1 km ,7,Walk ,5,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,5,1,1,1,3,3,2,0,8,1
285,285,Yeshwanthpur (green line),Chickpet (green line),Chikpete,Shopping,Near mall,Home,12:00:00,Metro ,25,Walk ,7,< 0.5 km ,8,Walk ,8,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,3,1,1,1,0,1,1
287,287,Indiranagar (purple line),Krantivira Sangolli Rayanna Railway Station (purple line),KSR railway quarters,Friend,Indranagar 6th cross,Home,12:05:00,Metro ,30,Walk ,4,< 0.5 km ,8,Walk ,8,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,7,1,1,2,1,1,1,0,1,1
289,289,Doddakallasandra (green line),Mantri Square Sampige Road (green line),Mall,Shopping,Near metro,Home,12:20:00,Metro ,25,Walk ,7,0.5 to 1 km ,7,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will not make this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,1,3,1,1,0,1,1
290,290,Doddakallasandra (green line),Konanakunte Cross (green line),Forum mall ,Shopping,Doddakalsandra ,Friend,00:40:00,Metro ,20,Walk ,7,< 0.5 km ,10,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,Not Applicable - because neither ends of my trip is home. .,15,4,4,7,1,1,1,1,1,0,1,1
292,292,Doddakallasandra (green line),Jayanagar (green line),Jaynagar 4th block,Shopping,"Doddakalsandra, pyramid platina",Home,13:25:00,Metro ,30,Walk ,7,0.5 to 1 km ,8,Walk ,6,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,4,1,1,2,3,3,2,0,1,1
293,293,Doddakallasandra (green line),South End Circle (green line),Near to metro,Other,"Near to ,metro",Home,13:20:00,Metro ,60,Dropped-off by friends/family members/others ,15,2.5 km to 3 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"No, I will not use a bicycle. .",15,3,8,1,1,1,7,1,1,0,8,1
294,294,Doddakallasandra (green line),Jalahalli (green line),"Vidyamanya nagara,jalahalli",Friend,"Doddakalsandra, near zudio",Home,13:30:00,Metro ,40,Dropped-off by friends/family members/others ,13,3.5 km to 4 km ,7,Dropped-off by friends/family members/others ,15,> 5 km ,3.0,For neither access nor egress trips ,,,No ,60,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,7,1,1,2,9,8,1,0,8,8
295,295,Doddakallasandra (green line),Sandal Soap Factory (green line),Orion mall,Friend,Mantri serenity ,Home,13:40:00,Metro ,50,Walk ,7,0.5 to 1 km ,8,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Employed,,0.0,2,0,0,"No, I will not use a bicycle. .",15,3,7,1,1,1,3,3,3,0,1,1
297,297,Doddakallasandra (green line),Jayanagar (green line),Once upon a rooftop cafe,Restaurant,Near metro,Home,13:50:00,Metro ,30,Walk ,5,< 0.5 km ,8,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,"1,00,001 – 2,00,000",1.0,1,1,0,"No, I will not use a bicycle. .",15,3,5,1,1,1,1,3,4,0,1,1
298,298,Doddakallasandra (green line),Mahatma Gandhi Road (purple line),"Mg road ,brigade road ",Shopping,"Doddakalsandra, kalyani motors ",Home,13:50:00,Metro ,45,Drove and parked a two-Wheeler ,10,0.5 to 1 km ,8,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,4,1,1,1,3,1,2,0,3,1
300,300,Doddakallasandra (green line),Konanakunte Cross (green line),Forum mall,Shopping,Raguvanahallli,Home,14:00:00,Metro ,20,Walk ,10,0.5 to 1 km ,7,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,2,3,1,2,0,1,1
301,301,Doddakallasandra (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Temple near majestic ,Social,Naranyan nagar playground ,Home,14:05:00,Metro ,25,Drove and parked a two-Wheeler ,5,0.5 to 1 km ,8,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,35,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Trade,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,6,1,1,2,3,3,1,0,3,1
302,302,Kengeri (purple line),Indiranagar (purple line),"Indranagar, CMH main road ",Restaurant,Kengeri sun city,Other,13:50:00,Metro ,60,Ola/Uber car ,5,1 km to 1.5 km ,1,Dropped-off by friends/family members/others ,7,1.5 km to 2 km ,1.0,For both access and egress trips ,,,Metro card ,40,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,15,4,5,8,1,1,4,2,3,0,6,8
303,303,Doddakallasandra (green line),Yelachenahalli (green line),Near Metro ,Home,Metro metro,Work,14:15:00,Metro ,20,Walk ,5,< 0.5 km ,8,Walk ,7,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,1,2,1,1,1,3,2,0,1,1
304,304,Doddakallasandra (green line),Sandal Soap Factory (green line),Orion,Shopping,Sri Krishna udupi,Home,14:15:00,Metro ,55,Drove and parked a two-Wheeler ,5,0.5 to 1 km ,8,Walk ,3,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,50,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,4,1,1,2,3,3,1,0,3,1
306,306,Baiyappanahalli (purple line),Mahatma Gandhi Road (purple line),Near St Pilominous,Other,"Whitefield, near manipal hospital ",Home,14:00:00,Metro ,90,Walk ,6,< 0.5 km ,7,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,No ,200,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,8,1,1,1,1,3,3,0,1,1
308,308,Goraguntepalya (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Lulu mall,Shopping,Nagavara ,Home,15:30:00,Bus1 + Metro + Bus2 ,90,Walk ,5,< 0.5 km ,5,Walk ,7,< 0.5 km ,,For both access and egress trips ,5.0,8.0,No ,50,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,1,4,1,1,1,3,0,1,1
309,309,Goraguntepalya (green line),Srirampura (green line),Soundarya manor,Work,Kodegehalli gate,Home,15:30:00,Bus + Metro ,90,Walk ,5,< 0.5 km ,3,Walk ,6,0.5 to 1 km ,,For neither access nor egress trips ,4.0,8.0,Metro card ,0,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,2,1,1,3,1,0,1,1
311,311,Cubbon Park (purple line),Pattanagere (purple line),"RR Nagar, near temple",Home,Avenue hotel,Work,16:05:00,Metro ,30,Walk ,15,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,12th,Business,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,1,2,1,4,3,3,1,0,1,1
312,312,Goraguntepalya (green line),Sandal Soap Factory (green line),Orion mall,Shopping,Near Metro ,Home,16:10:00,Metro ,13,Walk ,3,< 0.5 km ,6,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,1,1,1,1,0,1,1
313,313,Goraguntepalya (green line),Halasuru (purple line),Frank Anthony school ,Home,Taj vivantha,Work,16:15:00,Metro ,45,Walk ,5,< 0.5 km ,8,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,2.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,1,2,1,2,1,3,1,0,1,1
316,316,Goraguntepalya (green line),Mantri Square Sampige Road (green line),Vasanth nagar,Other,Tumkur to gorgonte palya,Home,16:20:00,Metro ,30,Walk ,2,< 0.5 km ,7,Auto Rickshaw ,10,3 km to 3.5 km ,5.0,For egress trip only ,,,Metro card ,60,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,8,1,1,1,1,5,4,0,1,5
317,317,Goraguntepalya (green line),Jayaprakash Nagar (green line),"Arkere,jp nagar",Home,Nelmangala ,Work,16:00:00,Bus + Metro ,75,Walk ,5,< 0.5 km ,7,Ola/Uber car ,20,4.5 km to 5 km ,7.0,For neither access nor egress trips ,4.0,8.0,No ,250,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Unemployed,,1.0,0,0,0,"No, I will not use a bicycle. .",15,3,1,2,2,2,1,6,1,0,1,6
320,320,Mahatma Gandhi Road (purple line),Cubbon Park (purple line),"MG road, church street ",Shopping,Cubbon park ,Social,16:30:00,Metro ,15,Walk ,7,< 0.5 km ,6,Walk ,8,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Postgraduate,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,6,1,2,1,1,1,0,1,1
321,321,Goraguntepalya (green line),Jayanagar (green line),Going to jayanagar metro and going to church street from there taking auto,Friend,Near metro ,Other,16:30:00,Metro ,30,Walk ,5,< 0.5 km ,8,Auto Rickshaw ,15,> 5 km ,5.0,For neither access nor egress trips ,,,Metro card ,60,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,7,8,1,1,1,8,1,0,1,5
322,322,Goraguntepalya (green line),Konanakunte Cross (green line),"Gottigere,",Other,"Nagasandra,prestige apartment ",Friend,15:00:00,Metro + Bus ,90,Dropped-off by friends/family members/others ,25,4.5 km to 5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5.0,10.0,No ,47,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,15,4,8,7,3,1,6,1,1,0,8,1
324,324,Goraguntepalya (green line),Mahalakshmi (green line),Iskon temple ,Social,Near sparsh hospital ,Home,16:45:00,Metro ,20,Walk ,7,< 0.5 km ,8,Walk ,8,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,Graduate,Unemployed,,1.0,1,1,0,"No, I will not use a bicycle. .",15,3,6,1,1,3,1,3,1,0,1,1
325,325,Goraguntepalya (green line),Sandal Soap Factory (green line),Orion ,Shopping,"Gorguntapalya, near metro station ",Other,16:45:00,Metro ,15,Walk ,5,< 0.5 km ,8,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,15,4,4,8,1,1,1,1,1,0,1,1
330,330,Lalbagh (green line),Trinity (purple line),"Ulsoor road,conrade hotel ",Work,"Lalbagh,near metro station ",Home,09:10:00,Metro ,50,Walk ,5,< 0.5 km ,5,Walk ,15,0.5 to 1 km ,,For egress trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,1,2,1,3,4,0,1,1
331,331,Lalbagh (green line),Indiranagar (purple line),"Indiranagar, near Glen's bakehouse ",Work,Lalbagh ,Home,09:35:00,Metro ,45,Walk ,5,< 0.5 km ,5,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,1,1,1,1,1,0,1,1
333,333,Lalbagh (green line),Cubbon Park (purple line),Suzie q,Work,Ck krishniah chetty and sons ,Home,09:35:00,Metro + Bus ,20,Walk ,10,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2.0,2.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,3,1,1,1,1,0,1,1
334,334,Lalbagh (green line),Swami Vivekananda Road (purple line),Bagmane- tech park,Work,Mavalli cross,Home,09:30:00,Metro + Bus ,60,Auto Rickshaw ,5,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For access trip only ,2.0,1.0,Metro card ,50,High crowding - All seats AND 50-75% of standing space occupied ,Female,Not eligible ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,0,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,3,2,4,1,2,0,5,1
336,336,Jayanagar (green line),Cubbon Park (purple line),Near hal ,Work,Jaynagar 3rd block ,Home,10:10:00,Metro ,45,Walk ,10,0.5 to 1 km ,5,Walk ,4,< 0.5 km ,,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,2,1,0,"No, I will not use a bicycle. .",15,3,2,1,1,2,3,1,2,0,1,1
337,337,Jayanagar (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Ms building,Work,Byrsandra,Home,10:20:00,Metro ,25,Dropped-off by friends/family members/others ,5,0.5 to 1 km ,5,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Graduate,Employed,,1.0,2,0,0,"No, I will not use a bicycle. .",15,3,2,1,1,4,3,1,1,0,8,1
338,338,Jayanagar (green line),Trinity (purple line),Embassy heights,Work,Padmanabnagar,Home,10:25:00,Metro ,90,Drove and parked a two-Wheeler ,25,> 5 km ,6,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,33,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,2,1,0,"No, I will not use a bicycle. .",15,3,2,1,1,1,8,3,1,0,3,1
339,339,Jayanagar (green line),Sandal Soap Factory (green line),Iskon ,Social,Nmkrv college ,Home,10:50:00,Metro ,25,Walk ,5,< 0.5 km ,6,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,33,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",15,1,6,1,1,1,1,3,1,0,1,1
340,340,Jayanagar (green line),Trinity (purple line),Kotak Mahindra Bank ,Work,"Padmanabnagar, Ravi gas agency",Home,10:30:00,Metro ,60,Drove and parked a two-Wheeler ,25,> 5 km ,6,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,1,1,1,8,1,1,0,3,1
342,342,Jayanagar (green line),Mantri Square Sampige Road (green line),"Shangri-La, Mount Carmel college ",School,Central mall,Home,11:03:00,Metro ,30,Drove and parked a two-Wheeler ,10,1.5 km to 2 km ,8,Auto Rickshaw ,10,3.5 km to 4 km ,3.0,For neither access nor egress trips ,,,Metro card ,20,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,1,0,"No, I will not use a bicycle. .",15,3,3,1,1,1,2,9,1,0,3,5
345,345,Jayaprakash Nagar (green line),Rajajinagar (green line),Mahalaxmi police station ,Work,Near Metro station ,Home,11:45:00,Metro ,45,Walk ,3,< 0.5 km ,9,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,1,1,1,1,3,4,0,1,1
346,346,Jayaprakash Nagar (green line),Mahalakshmi (green line),Iskon temple ,Social,Ig circle,Home,10:30:00,Metro ,30,Walk ,15,1 km to 1.5 km ,9,Walk ,10,0.5 to 1 km ,,For access trip only ,,,Metro card ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,6,1,1,1,4,3,2,0,1,1
349,349,Jayaprakash Nagar (green line),Mantri Square Sampige Road (green line),Mantri square,Shopping,"JP nagar,metro station ",Home,00:00:00,Metro ,25,Walk ,3,< 0.5 km ,8,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Trade,Unemployed,,1.0,2,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,3,1,1,1,0,1,1
350,350,Krantivira Sangolli Rayanna Railway Station (purple line),Deepanjali Nagar (purple line),Gfc hotel,Home,Sagara through railway ,Other,12:00:00,Metro ,25,Walk ,5,< 0.5 km ,7,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Unemployed,"50,001 – 1,00,000",0.0,0,0,0,"No, I will not use a bicycle. .",15,3,1,8,1,1,1,1,1,0,1,1
353,353,Jayaprakash Nagar (green line),Vijayanagar (purple line),Metro station ,Other,Inchara hotel,Home,00:12:00,Metro ,25,Walk ,3,< 0.5 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,No ,72,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,2.0,3,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,8,1,1,1,1,1,1,0,1,1
